name,description
General consultation,Standard GP visit
Follow-up,Review appointment
Vaccination,Immunization clinic
Wound care,Dressing and minor procedures
Health screening,Basic check-up packages
Antenatal,Pregnancy follow-up
Paediatric,Children clinic
Dental exam,Basic dental check
Physio session,Physiotherapy
Lab blood test,Blood investigation
ECG,Heart rhythm test
Ultrasound,Imaging service
Nebulizer,Respiratory treatment
Injection,Medication injection
Medical certificate,MC issuance
Travel vaccine,Travel health
Chronic care,Diabetes / hypertension review
Dermatology,Skin consult
ENT consult,Ear nose throat
Emergency walk-in,Urgent same-day slot
