name,phone,email,address,notes
Syarikat Sumber Jaya,0388881111,sales@sumberjaya.my,"Shah Alam, Selangor",Main grocery supplier
Tech Parts Sdn Bhd,0377772222,order@techparts.my,"Petaling Jaya",Electronics & cables
Hardware Hub MY,0366663333,hub@hardware.my,"Klang",Tools and fasteners
Fresh Drink Distributors,0355554444,fresh@drinks.my,"Subang Jaya",Beverages wholesale
Snack World Trading,0344445555,sales@snackworld.my,"Cheras",Biscuits and chips
CleanPro Supplies,0333336666,info@cleanpro.my,"Shah Alam",Household cleaning
Paper & More,0322227777,orders@papermore.my,"Kepong",Tissue and stationery
Battery Max,0311118888,max@battery.my,"Puchong",Batteries
Rope & Cord Co,0399990000,rope@cord.my,"Ipoh",Hardware rope by meter
Rice Mill Central,0388889999,rice@mill.my,"Kedah",Rice and dry goods
Valley Soft Drinks,0377770001,valley@soda.my,"Johor Bahru",Cola and soft drinks
Cafe Beans Import,0366660002,beans@cafe.my,"KL Sentral",Coffee 3-in-1
Hygiene First,0355550003,hygiene@first.my,"Melaka",Soap and personal care
Fastener King,0344440004,king@fastener.my,"Penang",Screws packs
Valve Tech,0333330005,valve@tech.my,"Seremban",Plumbing valves
Office Mart Wholesale,0322220006,office@mart.my,"Putrajaya",Notebooks and pens
Custom Wire Cutters,0311110007,wire@custom.my,"Cyberjaya",Open-price cable cuts
East Coast Supply,0390000008,east@supply.my,"Kuantan",General merchandise
North Star Trading,0380000009,north@star.my,"Alor Setar",Regional distributor
Borneo Goods Co,0870000010,borneo@goods.my,"Kota Kinabalu",East Malaysia supplier
