name,sku,unit_price,cost_price,quantity,low_stock_threshold,description
Paracetamol 500mg,MED-001,5.00,2.50,200,30,Tablet 10's
Amoxicillin 250mg,MED-002,12.00,6.00,80,20,Kapsul
OR S  oral rehydration,MED-003,3.50,1.20,150,25,Sachet
Cough syrup 100ml,MED-004,15.00,7.50,60,15,Botol
Antiseptic solution 100ml,SUP-001,8.00,3.50,40,10,Botol
Surgical gloves M,SUP-002,12.00,6.00,50,10,Box 100 pcs
Face mask 3-ply,SUP-003,10.00,4.00,100,20,Box 50 pcs
Gauze swab 7.5cm,SUP-004,6.00,2.50,70,15,Pack
Syringe 5ml,SUP-005,0.80,0.30,300,50,Unit
Cotton wool 200g,SUP-006,9.00,4.00,35,10,Pack
