name,category,unit_price,description
Consultation fee,General consultation,50.00,Standard consult
Follow-up fee,Follow-up,30.00,
Vaccine admin fee,Vaccination,25.00,Excludes vaccine cost
Wound dressing,Wound care,35.00,
Basic screening package,Health screening,120.00,
Antenatal review,Antenatal,60.00,
Paediatric consult,Paediatric,55.00,
Dental check fee,Dental exam,40.00,
Physio 30 min,Physio session,80.00,
Blood test panel,Lab blood test,90.00,
ECG recording,ECG,45.00,
Ultrasound abdomen,Ultrasound,150.00,
Nebulizer session,Nebulizer,25.00,
IM injection fee,Injection,15.00,
MC issuance,Medical certificate,10.00,
Travel consult,Travel vaccine,70.00,
Chronic care review,Chronic care,65.00,
Skin consult fee,Dermatology,80.00,
ENT consult fee,ENT consult,75.00,
Walk-in urgent fee,Emergency walk-in,90.00,
